Название,Средний балл,Количество мест,Количество образовательных программ,Город
КГПУ им. В.П. Астафьева,58.0,1096,38,Красноярск
РГУ им. С.А. Есенина,68.9,922,66,Рязань
СГУ им. Питирима Сорокина,54.8,1158,59,Коми
РГРТУ,61.0,1033,36,Рязань
АлтГТУ им. И.И. Ползунова,53.6,1162,49,Алтайский край
ОГПУ,67.7,917,51,Оренбург
СПбГТИ(ТУ),56.4,1093,23,Санкт-Петербрг
АГУ,56.2,1090,78,Астрахань
БашГАУ,55.4,1105,22,Башкортостан
КБГУ им. Х. М. Бербекова,59.1,1032,55,Кабардино-балкария
МГМСУ,85.9,705,8,Москва
ДГУ,51.3,1180,68,Дагестан
НИУ ВШЭ СПБ,95.5,633,16,Санкт-Петербрг
СибГМУ,63.5,945,11,Томск
СПбГПМУ,75.9,790,8,Санкт-Петербрг
БГМУ,61.1,970,10,Башкортостан
ИжГТУ им. М.Т. Калашникова,57.2,1036,48,Удмуртия
ВГСПУ,61.2,963,51,Волгоград
СГСПУ,68.7,853,41,Самара
ВГПУ,63.8,916,43,Воронеж
АлтГПУ,55.3,1052,39,Алтайский край
ЯГПУ им. Ушинского,65.9,880,52,Ярославль
РостГМУ,66.2,876,7,Ростов-на-дону
РГСУ,67.3,857,60,Москва
ЗабГУ,46.6,1237,77,Забайкалье
ТвГУ,58.4,985,54,Тверь
МИЭТ,66.3,852,21,Москва
Университет МИСИС,77.3,724,70,Москва
БГТУ,50.4,1110,46,Брянск
ОмГПУ,58.8,949,49,Омск
ВГАУ им. Петра I,46.8,1189,23,Воронеж
СибГУТИ,51.7,1070,29,Новосибирск
НГАУ,49.1,1126,21,Новосибирск
СтГМУ,69.7,788,10,Ставрополь
СурГУ,59.0,930,36,Хмао
ПГУТИ,58.3,935,22,Самара
МГПУ им. М.Е. Евсевьева,60.0,907,38,Мордовия
ЯрГУ,65.9,824,36,Ярославль
ЯГТУ,61.1,884,47,Ярославль
ЧелГУ,61.3,873,72,Челябинск
БГУ им. Доржи Банзарова,50.8,1047,71,Бурятия
УлГУ,58.0,917,66,Ульяновск
ИнгГУ,55.9,944,48,Ингушетия
ВолгГМУ,67.2,784,12,Волгоград
КГУ,52.8,997,53,Кострома
ЮУрГГПУ,56.9,925,55,Челябинск
ВГЛТУ им. Г.Ф. Морозова,55.5,942,21,Воронеж
ПГГПУ,58.4,881,33,Пермь
УлГПУ им. И.Н. Ульянова,53.2,962,48,Ульяновск
УлГТУ,55.8,907,68,Ульяновск
СГМУ им. В.И. Разумовского,56.4,886,7,Саратов
ОмГУ им. Ф.М. Достоевского,59.7,833,64,Омск
ВоГУ,56.2,884,40,Вологда
ТГПУ,62.1,800,40,Томск
РГУПС,54.9,900,34,Ростов-на-дону
ЮЗГУ,65.9,741,60,Курск
ОмГАУ им. П.А.Столыпина,47.5,1022,25,Омск
АГПУ,52.7,921,40,Краснодар
ТувГУ,48.3,993,58,Тыва
ДГМУ,74.5,640,5,Дагестан
СГАУ им. Н.И. Вавилова,42.1,1128,44,Саратов
ИГЭУ,61.0,775,49,Иваново
МАДИ,54.2,860,38,Москва
ДВГУПС,50.5,923,72,Хабаровск
КГТУ,51.1,910,36,Калининград
ТГАСУ,54.9,843,16,Томск
ТлттГУ,54.0,857,57,Самара
ВолГАУ,44.1,1048,50,Волгоград
УГМУ,59.4,778,8,Екатеринбург
ОмГУПС,48.4,943,53,Омск
КГУ им. К.Э. Циолковского,65.6,690,54,Калуга
ПИМУ,79.1,572,5,Нижний Новгород
РГППУ,66.2,672,32,Екатеринбург
МГТУ ГА,53.9,824,18,Москва
СамГМУ,56.4,783,8,Самара
СтГАУ,57.0,773,36,Ставрополь
СГЮА,81.9,527,18,Саратов
БГУ ,59.9,717,60,Брянск
УрГЮУ имени В.Ф. Яковлева,87.5,490,11,Екатеринбург
ХГУ им. Н.Ф. Катанова,50.9,840,44,Хакасия
ГГПИ,61.7,692,42,Удмуртия
УГЛТУ,56.7,752,51,Екатеринбург
СибАДИ,51.4,828,21,Омск
ТГТУ,54.2,785,54,Тамбов
КузГТУ им. Т.Ф. Горбачева,44.8,947,28,Кемерово
ПСПбГМУ им. И. П. Павлова,58.4,726,7,Санкт-Петербрг
КГАСУ,68.7,611,20,Татарстан
ДГУНХ,50.2,836,10,Дагестан
РязГМУ им. И.П. Павлова,84.8,492,8,Рязань
Кузбасская ГСХА,60.2,692,14,Кемерово
ЛГУ им. А.С. Пушкина,73.4,566,43,Санкт-Петербрг
ЮУрГАУ,41.3,998,19,Челябинск
ЮГУ,53.5,770,20,Хмао
Белгородский ГАУ,52.0,788,26,Белгород
КрасГМУ,77.3,530,7,Красноярск
СЗГМУ им. И.И. Мечникова,72.8,562,6,Санкт-Петербрг
КалмГУ,44.5,918,53,Калмыкия
ВСГУТУ,42.5,960,53,Бурятия
КГМУ,68.2,598,10,Курск
КрасГАУ,52.4,771,28,Красноярск
ЧГПУ им. И. Я. Яковлева,56.3,717,42,Чувашия
СамГУПС,44.5,898,21,Самара
СГУГиТ,59.5,667,21,Новосибирск
НГПУ,58.0,681,28,Татарстан
КнАГУ,47.1,833,49,Хабаровск
МГИМО,93.7,418,29,Москва
ВГМУ им. Н.Н. Бурденко,78.3,499,5,Воронеж
ТвГТУ,52.5,744,63,Тверь
УрГУПС,47.8,812,45,Екатеринбург
ДагГАУ им. М.М.Джамбулатова,61.5,631,47,Дагестан
НГМУ,60.0,643,8,Новосибирск
ЛГТУ,53.4,719,71,Липецк
АГУ,54.6,698,54,Адыгея
КИПУ им. Якубова,38.4,990,38,Севастополь
Тюменский ГМУ,62.6,607,5,Тюмень
КГУ,54.1,702,51,Курган
ПензГТУ,65.4,577,29,Пенза
ДГТУ,50.6,741,63,Дагестан
КГУФКСТ,56.9,657,13,Краснодар
Уральский ГАУ,47.5,785,17,Екатеринбург
НИУ ВШЭ НН,86.8,425,12,Нижний Новгород
